Date,Trees,Diff
2019-10-30,7842.698,9106
2019-10-30,7854.357,11659
2019-10-30,7866.027,11670
2019-10-30,7877.354,11327
2019-10-30,7898.86,21506
2019-10-30,7911.134,12274
2019-10-30,7922.739,11605
2019-10-30,7941.683,18944
2019-10-30,7952.036,10353
2019-10-30,7962.681,10645
2019-10-30,7973.484,10803
2019-10-30,8022.361,48877
2019-10-30,8062.621,40260
2019-10-30,8076.461,13840
2019-10-30,8090.307,13846
2019-10-30,8127.907,37600
2019-10-30,8160.294,32387
2019-10-30,8177.334,17040
2019-10-30,8192.779,15445
2019-10-30,8226.511,33732
2019-10-30,8243.049,16538
2019-10-30,8258.754,15705
2019-10-30,8275.031,16277
2019-10-30,8291.86,16829
2019-10-30,8311.317,19457
2019-10-30,8328.899,17582
2019-10-30,8355.001,26102
2019-10-30,8632.647,277646
2019-10-30,8848.849,216202
2019-10-30,9865.232,1016383
2019-10-30,9954.301,89069
2019-10-30,9970.953,16652
2019-10-30,9996.158,25205
2019-10-31,10012.205,16047
2019-10-31,10030.658,18453
2019-10-31,10046.183,15525
2019-10-31,10097.449,51266
2019-10-31,10111.512,14063
2019-10-31,10134.348,22836
2019-10-31,10144.737,10389
2019-10-31,10155.822,11085
2019-10-31,10182.031,26209
2019-10-31,10210.91,28879
2019-10-31,10220.492,9582
2019-10-31,10228.484,7992
2019-10-31,10236.464,7980
2019-10-31,10243.526,7062
2019-10-31,10251.708,8182
2019-10-31,10257.29,5582
2019-10-31,10463.207,205917
2019-10-31,10470.357,7150
2019-10-31,10477.787,7430
2019-10-31,10488.336,10549
2019-10-31,10496.922,8586
2019-10-31,10514.398,17476
2019-10-31,10523.101,8703
2019-10-31,10533.011,9910
2019-10-31,10541.25,8239
2019-10-31,10550.862,9612
2019-10-31,10560.478,9616
2019-10-31,10570.713,10235
2019-10-31,10595.633,24920
2019-10-31,10679.093,83460
2019-10-31,10692.785,13692
2019-10-31,10704.908,12123
2019-10-31,10920.191,215283
2019-10-31,10932.778,12587
2019-10-31,10946.402,13624
2019-10-31,10967.306,20904
2019-10-31,10976.949,9643
2019-10-31,10987.353,10404
2019-10-31,10998.024,10671
2019-10-31,11009.421,11397
2019-10-31,11021.324,11903
2019-10-31,11044.223,22899
2019-10-31,11057.695,13472
2019-10-31,11074.289,16594
2019-10-31,11090.637,16348
2019-10-31,11105.237,14600
2019-10-31,11119.605,14368
2019-10-31,11130.39,10785
2019-11-01,11141.41,11020
2019-11-01,11157.596,16186
2019-11-01,11164.951,7355
2019-11-01,11173.42,8469
2019-11-01,11181.32,7900
2019-11-01,11189.157,7837
2019-11-01,11196.919,7762
2019-11-01,11203.247,6328
2019-11-01,11208.993,5746
2019-11-01,11213.937,4944
2019-11-01,11236.267,22330
2019-11-01,11240.853,4586
2019-11-01,11244.021,3168
2019-11-01,11250.184,6163
2019-11-01,11253.204,3020
2019-11-01,11257.847,4643
2019-11-01,11262.951,5104
2019-11-01,11267.317,4366
2019-11-01,11270.65,3333
2019-11-01,11282.161,11511
2019-11-01,11286.577,4416
2019-11-01,11291.349,4772
2019-11-01,11298.423,7074
2019-11-01,11302.845,4422
2019-11-01,11308.938,6093
2019-11-01,11314.573,5635
2019-11-01,11321.239,6666
2019-11-01,11328.84,7601
2019-11-01,11335.254,6414
2019-11-01,11342.243,6989
2019-11-01,11350.043,7800
2019-11-01,11356.768,6725
2019-11-01,11365.909,9141
2019-11-01,11387.362,21453
2019-11-01,11394.863,7501
2019-11-01,11402.018,7155
2019-11-01,11407.906,5888
2019-11-01,11415.008,7102
2019-11-01,11434.169,19161
2019-11-01,11431.548,-2621
2019-11-01,11693.475,261927
2019-11-01,11701.004,7529
2019-11-01,11739.983,38979
2019-11-01,11748.157,8174
2019-11-01,11754.905,6748
2019-11-01,11771.6,16695
2019-11-01,11778.653,7053
2019-11-01,11789.706,11053
2019-11-02,11795.692,5986
2019-11-02,11801.469,5777
2019-11-02,11818.277,16808
2019-11-02,11822.928,4651
2019-11-02,11827.592,4664
2019-11-02,11834.019,6427
2019-11-02,11848.328,14309
2019-11-02,11853.427,5099
2019-11-02,11857.501,4074
2019-11-02,11910.967,53466
2019-11-02,11915.344,4377
2019-11-02,11929.165,13821
2019-11-02,11931.688,2523
2019-11-02,11934.823,3135
2019-11-02,11937.324,2501
2019-11-02,11939.644,2320
2019-11-02,11941.907,2263
2019-11-02,11944.458,2551
2019-11-02,11947.607,3149
2019-11-02,11950,2393
2019-11-02,11954.346,4346
2019-11-02,11959.232,4886
2019-11-02,11962.525,3293
2019-11-02,11966.428,3903
2019-11-02,11970.777,4349
2019-11-02,11975.226,4449
2019-11-02,11979.045,3819
2019-11-02,11984.352,5307
2019-11-02,12009.006,24654
2019-11-02,12016.033,7027
2019-11-02,12022.9,6867
2019-11-02,12029.96,7060
2019-11-02,12038.52,8560
2019-11-02,12045.374,6854
2019-11-02,12053.589,8215
2019-11-02,12060.754,7165
2019-11-02,12085.054,24300
2019-11-02,12094.793,9739
2019-11-02,12102.282,7489
2019-11-02,12108.795,6513
2019-11-02,12114.291,5496
2019-11-02,12122.828,8537
2019-11-02,12128.572,5744
2019-11-02,12134.336,5764
2019-11-02,12146.165,11829
2019-11-02,12172.831,26666
2019-11-02,12176.741,3910
2019-11-02,12180.934,4193
2019-11-03,12189.265,8331
2019-11-03,12193.602,4337
2019-11-03,12199.28,5678
2019-11-03,12203.52,4240
2019-11-03,12207.883,4363
2019-11-03,12222.607,14724
2019-11-03,12225.759,3152
2019-11-03,12228.825,3066
2019-11-03,12231.96,3135
2019-11-03,12235.097,3137
2019-11-03,12237.778,2681
2019-11-03,12240.802,3024
2019-11-03,12243.058,2256
2019-11-03,12245.873,2815
2019-11-03,12248.869,2996
2019-11-03,12250.485,1616
2019-11-03,12253.134,2649
2019-11-03,12256.342,3208
2019-11-03,12258.96,2618
2019-11-03,12261.011,2051
2019-11-03,12263.734,2723
2019-11-03,12266.328,2594
2019-11-03,12269.244,2916
2019-11-03,12272.176,2932
2019-11-03,12275.029,2853
2019-11-03,12278.556,3527
2019-11-03,12281.823,3267
2019-11-03,12284.684,2861
2019-11-03,12289.371,4687
2019-11-03,12293.984,4613
2019-11-03,12298.196,4212
2019-11-03,12302.096,3900
2019-11-03,12306.175,4079
2019-11-03,12330.195,24020
2019-11-03,12335.862,5667
2019-11-03,12343.054,7192
2019-11-03,12349.565,6511
2019-11-03,12354.701,5136
2019-11-03,12360.705,6004
2019-11-03,12369.298,8593
2019-11-03,12396.348,27050
2019-11-03,12409.025,12677
2019-11-03,12419.252,10227
2019-11-03,12431,11748
2019-11-03,12454.505,23505
2019-11-03,12462.259,7754
2019-11-03,12478.197,15938
2019-11-03,12484.18,5983
2019-11-04,12491.575,7395
2019-11-04,12496.876,5301
2019-11-04,12501.864,4988
2019-11-04,12507.408,5544
2019-11-04,12513.033,5625
2019-11-04,12527.249,14216
2019-11-04,12531.489,4240
2019-11-04,12536.686,5197
2019-11-04,12541.349,4663
2019-11-04,12546.213,4864
2019-11-04,12549.594,3381
2019-11-04,12552.494,2900
2019-11-04,12564.17,11676
2019-11-04,12566.655,2485
2019-11-04,12570.888,4233
2019-11-04,12573.671,2783
2019-11-04,12575.744,2073
2019-11-04,12577.944,2200
2019-11-04,12579.779,1835
2019-11-04,12583.34,3561
2019-11-04,12610.734,27394
2019-11-04,12613.117,2383
2019-11-04,12615.208,2091
2019-11-04,12617.654,2446
2019-11-04,12619.723,2069
2019-11-04,12621.797,2074
2019-11-04,12624.588,2791
2019-11-04,12627.295,2707
2019-11-04,12631.148,3853
2019-11-04,12642.896,11748
2019-11-04,12646.011,3115
2019-11-04,12649.398,3387
2019-11-04,12654.116,4718
2019-11-04,12656.918,2802
2019-11-04,12661.736,4818
